time_stamp,number_of_dead_nodes,number_of_monitored_target,lowest_node_energy,lowest_node_location,avg_energy,MC_0_status,MC_1_status,MC_2_status,MC_0_location,MC_1_location,MC_2_location
3201,0,60,6.234,"(830.3860298625968, 660.3293469072189)",0.0006143010408201021,deactivated,deactivated,deactivated,"(0.0, 0.0)","(433.93663961287706, 703.3390239373531)","(433.93663961287706, 703.3390239373531)"
3301,0,60,6.066,"(830.3860298625968, 660.3293469072189)",0.0006143010408201021,deactivated,deactivated,deactivated,"(0.0, 0.0)","(433.93663961287706, 703.3390239373531)","(433.93663961287706, 703.3390239373531)"
3401,0,60,5.897,"(830.3860298625968, 660.3293469072189)",0.0006143010408201021,deactivated,deactivated,deactivated,"(0.0, 0.0)","(433.93663961287706, 703.3390239373531)","(433.93663961287706, 703.3390239373531)"
3501,0,60,5.729,"(830.3860298625968, 660.3293469072189)",0.0006143010408201021,deactivated,deactivated,deactivated,"(0.0, 0.0)","(433.93663961287706, 703.3390239373531)","(433.93663961287706, 703.3390239373531)"
3601,0,60,5.56,"(830.3860298625968, 660.3293469072189)",0.0006143010408201021,deactivated,deactivated,deactivated,"(0.0, 0.0)","(433.93663961287706, 703.3390239373531)","(433.93663961287706, 703.3390239373531)"
3701,0,60,5.392,"(830.3860298625968, 660.3293469072189)",0.0006143010408201021,deactivated,deactivated,deactivated,"(0.0, 0.0)","(433.93663961287706, 703.3390239373531)","(433.93663961287706, 703.3390239373531)"
3801,0,60,5.223,"(830.3860298625968, 660.3293469072189)",0.0006143010408201021,deactivated,deactivated,deactivated,"(0.0, 0.0)","(433.93663961287706, 703.3390239373531)","(433.93663961287706, 703.3390239373531)"
3901,0,60,5.055,"(830.3860298625968, 660.3293469072189)",0.0006143010408201021,deactivated,deactivated,deactivated,"(0.0, 0.0)","(433.93663961287706, 703.3390239373531)","(433.93663961287706, 703.3390239373531)"
4001,0,60,4.886,"(830.3860298625968, 660.3293469072189)",0.0006143010408201021,deactivated,deactivated,deactivated,"(0.0, 0.0)","(433.93663961287706, 703.3390239373531)","(433.93663961287706, 703.3390239373531)"
4101,0,60,4.718,"(830.3860298625968, 660.3293469072189)",0.0006143010408201021,deactivated,deactivated,deactivated,"(0.0, 0.0)","(433.93663961287706, 703.3390239373531)","(433.93663961287706, 703.3390239373531)"
4201,0,60,4.549,"(830.3860298625968, 660.3293469072189)",0.0006143010408201021,deactivated,deactivated,deactivated,"(0.0, 0.0)","(433.93663961287706, 703.3390239373531)","(433.93663961287706, 703.3390239373531)"
4301,0,60,4.381,"(830.3860298625968, 660.3293469072189)",0.0006143010408201021,deactivated,deactivated,deactivated,"(0.0, 0.0)","(433.93663961287706, 703.3390239373531)","(433.93663961287706, 703.3390239373531)"
4401,0,60,4.212,"(830.3860298625968, 660.3293469072189)",0.0006143010408201021,deactivated,deactivated,deactivated,"(0.0, 0.0)","(433.93663961287706, 703.3390239373531)","(433.93663961287706, 703.3390239373531)"
4501,0,60,4.044,"(830.3860298625968, 660.3293469072189)",0.0006143010408201021,deactivated,deactivated,deactivated,"(0.0, 0.0)","(433.93663961287706, 703.3390239373531)","(433.93663961287706, 703.3390239373531)"
4601,0,60,3.875,"(830.3860298625968, 660.3293469072189)",0.0006143010408201028,moving,moving,moving,"(289.6010196042179, 230.28514811901618)","(801.741198474209, 663.0922044254982)","(801.741198474209, 663.0922044254982)"
4701,0,60,3.707,"(830.3860298625968, 660.3293469072189)",0.0006143010408201029,moving,moving,moving,"(680.9537487991047, 541.4812942257946)","(451.5063470623634, 363.1936513366086)","(451.5063470623634, 363.1936513366086)"
4801,0,60,7.54,"(632.2044992854892, 788.1481286371179)",0.0006143010408201029,charging,moving,moving,"(830, 660)","(61.91036925409047, 49.800967829774855)","(61.91036925409047, 49.800967829774855)"
4901,0,60,7.437,"(632.2044992854892, 788.1481286371179)",0.0006143010408201029,moving,deactivated,deactivated,"(446.474325389011, 355.027776815355)","(3.4709725828493565, 2.7920653037496965)","(3.4709725828493565, 2.7920653037496965)"
5001,0,60,7.233,"(632.2044992854892, 788.1481286371179)",0.0006143010408201029,moving,deactivated,deactivated,"(55.121596194122866, 43.83163070857677)","(3.4709725828493565, 2.7920653037496965)","(3.4709725828493565, 2.7920653037496965)"
5101,0,60,7.029,"(632.2044992854892, 788.1481286371179)",0.0006143010408201029,deactivated,deactivated,deactivated,"(0.0, 0.0)","(3.4709725828493565, 2.7920653037496965)","(3.4709725828493565, 2.7920653037496965)"
5201,0,60,6.824,"(632.2044992854892, 788.1481286371179)",0.0006143010408201029,deactivated,deactivated,deactivated,"(0.0, 0.0)","(3.4709725828493565, 2.7920653037496965)","(3.4709725828493565, 2.7920653037496965)"
5301,0,60,6.62,"(632.2044992854892, 788.1481286371179)",0.0006143010408201029,deactivated,deactivated,deactivated,"(0.0, 0.0)","(3.4709725828493565, 2.7920653037496965)","(3.4709725828493565, 2.7920653037496965)"
5401,0,60,6.416,"(632.2044992854892, 788.1481286371179)",0.0006143010408201029,deactivated,deactivated,deactivated,"(0.0, 0.0)","(3.4709725828493565, 2.7920653037496965)","(3.4709725828493565, 2.7920653037496965)"
5501,0,60,6.211,"(632.2044992854892, 788.1481286371179)",0.0006143010408201029,deactivated,deactivated,deactivated,"(0.0, 0.0)","(3.4709725828493565, 2.7920653037496965)","(3.4709725828493565, 2.7920653037496965)"
5601,0,60,6.007,"(632.2044992854892, 788.1481286371179)",0.0006143010408201029,deactivated,deactivated,deactivated,"(0.0, 0.0)","(3.4709725828493565, 2.7920653037496965)","(3.4709725828493565, 2.7920653037496965)"
5701,0,60,5.803,"(632.2044992854892, 788.1481286371179)",0.0006143010408201029,deactivated,deactivated,deactivated,"(0.0, 0.0)","(3.4709725828493565, 2.7920653037496965)","(3.4709725828493565, 2.7920653037496965)"
5801,0,60,5.598,"(632.2044992854892, 788.1481286371179)",0.0006143010408201029,deactivated,deactivated,deactivated,"(0.0, 0.0)","(3.4709725828493565, 2.7920653037496965)","(3.4709725828493565, 2.7920653037496965)"
5901,0,60,5.394,"(632.2044992854892, 788.1481286371179)",0.0006143010408201029,deactivated,deactivated,deactivated,"(0.0, 0.0)","(3.4709725828493565, 2.7920653037496965)","(3.4709725828493565, 2.7920653037496965)"
6001,0,60,5.19,"(632.2044992854892, 788.1481286371179)",0.0006143010408201029,deactivated,deactivated,deactivated,"(0.0, 0.0)","(3.4709725828493565, 2.7920653037496965)","(3.4709725828493565, 2.7920653037496965)"
6101,0,60,4.985,"(632.2044992854892, 788.1481286371179)",0.0006143010408201029,deactivated,deactivated,deactivated,"(0.0, 0.0)","(3.4709725828493565, 2.7920653037496965)","(3.4709725828493565, 2.7920653037496965)"
6201,0,60,4.781,"(632.2044992854892, 788.1481286371179)",0.0006143010408201029,deactivated,deactivated,deactivated,"(0.0, 0.0)","(3.4709725828493565, 2.7920653037496965)","(3.4709725828493565, 2.7920653037496965)"
6301,0,60,4.576,"(632.2044992854892, 788.1481286371179)",0.0006143010408201029,deactivated,deactivated,deactivated,"(0.0, 0.0)","(3.4709725828493565, 2.7920653037496965)","(3.4709725828493565, 2.7920653037496965)"
6401,0,60,4.372,"(632.2044992854892, 788.1481286371179)",0.0006143010408201029,deactivated,deactivated,deactivated,"(0.0, 0.0)","(3.4709725828493565, 2.7920653037496965)","(3.4709725828493565, 2.7920653037496965)"
6501,0,60,4.168,"(632.2044992854892, 788.1481286371179)",0.0006143010408201029,deactivated,deactivated,deactivated,"(0.0, 0.0)","(3.4709725828493565, 2.7920653037496965)","(3.4709725828493565, 2.7920653037496965)"
