time_stamp,id,starting_point,destination_point,decision_id,charging_time,moving_time
1367,0,"(0.0, 0.0)","(480, 593)",67,477.92182544519346,152.58427179758732
1367,1,"(0.0, 0.0)","(480, 593)",67,356.9680954457308,152.58427179758732
1367,2,"(0.0, 0.0)","(480, 593)",67,543.8898678005307,152.58427179758732
1876,1,"(480, 593)","(480, 593)",67,0.0,0.0
1997,0,"(480, 593)","(480, 593)",67,0.0,0.0
2063,2,"(480, 593)","(480, 593)",67,0.0,0.0
2379,0,"(480, 593)","(518, 403)",72,388.1482270223194,38.75254830330517
2379,1,"(480, 593)","(518, 403)",72,788.7083941793956,38.75254830330517
2379,2,"(480, 593)","(518, 403)",72,1224.7101825867433,38.75254830330517
2805,0,"(518, 403)","(518, 403)",72,0.0,0.0
3206,1,"(518, 403)","(518, 403)",72,0.0,0.0
3642,2,"(518, 403)","(518, 403)",72,0.0,0.0
3918,0,"(518, 403)","(480, 593)",67,235.95830265813495,38.75254830330517
3918,1,"(518, 403)","(480, 593)",67,2040.1945289272655,38.75254830330517
3918,2,"(518, 403)","(480, 593)",67,3098.4340510943853,38.75254830330517
4192,0,"(480, 593)","(480, 593)",67,0.0,0.0
5996,1,"(480, 593)","(480, 593)",67,0.0,0.0
7055,2,"(480, 593)","(480, 593)",67,0.0,0.0
