time_stamp,number_of_dead_nodes,number_of_monitored_target,lowest_node_energy,lowest_node_location,avg_energy,MC_0_status,MC_1_status,MC_2_status,MC_0_location,MC_1_location,MC_2_location
1,0,600,10.0,"(21, 988)",0.0,deactivated,deactivated,deactivated,"(0.0, 0.0)","(0.0, 0.0)","(0.0, 0.0)"
101,0,600,9.564,"(428, 524)",0.0,deactivated,deactivated,deactivated,"(0.0, 0.0)","(0.0, 0.0)","(0.0, 0.0)"
201,0,600,9.123,"(428, 524)",0.00018266746133332884,deactivated,deactivated,deactivated,"(0.0, 0.0)","(0.0, 0.0)","(0.0, 0.0)"
301,0,600,8.675,"(428, 524)",0.00018266746133332884,deactivated,deactivated,deactivated,"(0.0, 0.0)","(0.0, 0.0)","(0.0, 0.0)"
401,0,600,8.232,"(428, 524)",0.00018266746133332884,deactivated,deactivated,deactivated,"(0.0, 0.0)","(0.0, 0.0)","(0.0, 0.0)"
501,0,600,7.796,"(428, 524)",0.00018266746133332884,deactivated,deactivated,deactivated,"(0.0, 0.0)","(0.0, 0.0)","(0.0, 0.0)"
601,0,600,7.35,"(428, 524)",0.00018266746133332884,deactivated,deactivated,deactivated,"(0.0, 0.0)","(0.0, 0.0)","(0.0, 0.0)"
701,0,600,6.908,"(428, 524)",0.00018266746133332884,deactivated,deactivated,deactivated,"(0.0, 0.0)","(0.0, 0.0)","(0.0, 0.0)"
801,0,600,6.473,"(428, 524)",0.00018266746133332884,deactivated,deactivated,deactivated,"(0.0, 0.0)","(0.0, 0.0)","(0.0, 0.0)"
901,0,600,6.034,"(428, 524)",0.00018266746133332884,deactivated,deactivated,deactivated,"(0.0, 0.0)","(0.0, 0.0)","(0.0, 0.0)"
1001,0,600,5.601,"(428, 524)",0.00018266746133332884,deactivated,deactivated,deactivated,"(0.0, 0.0)","(0.0, 0.0)","(0.0, 0.0)"
1101,0,600,5.158,"(428, 524)",0.00018266746133332884,deactivated,deactivated,deactivated,"(0.0, 0.0)","(0.0, 0.0)","(0.0, 0.0)"
1201,0,600,4.715,"(428, 524)",0.00018266746133332884,deactivated,deactivated,deactivated,"(0.0, 0.0)","(0.0, 0.0)","(0.0, 0.0)"
