time_stamp,number_of_dead_nodes,number_of_monitored_target,lowest_node_energy,lowest_node_location,avg_energy,MC_0_status,MC_1_status,MC_2_status,MC_0_location,MC_1_location,MC_2_location
1,0,600,10.0,"(21, 988)",0.0,deactivated,deactivated,deactivated,"(0.0, 0.0)","(0.0, 0.0)","(0.0, 0.0)"
101,0,600,9.56,"(491, 571)",0.0,deactivated,deactivated,deactivated,"(0.0, 0.0)","(0.0, 0.0)","(0.0, 0.0)"
201,0,600,9.132,"(491, 571)",0.00016158282414999666,deactivated,deactivated,deactivated,"(0.0, 0.0)","(0.0, 0.0)","(0.0, 0.0)"
301,0,600,8.687,"(491, 571)",0.00016158282414999666,deactivated,deactivated,deactivated,"(0.0, 0.0)","(0.0, 0.0)","(0.0, 0.0)"
401,0,600,8.245,"(491, 571)",0.00016158282414999666,deactivated,deactivated,deactivated,"(0.0, 0.0)","(0.0, 0.0)","(0.0, 0.0)"
501,0,600,7.806,"(491, 571)",0.00016158282414999666,deactivated,deactivated,deactivated,"(0.0, 0.0)","(0.0, 0.0)","(0.0, 0.0)"
601,0,600,7.368,"(491, 571)",0.00016158282414999666,deactivated,deactivated,deactivated,"(0.0, 0.0)","(0.0, 0.0)","(0.0, 0.0)"
701,0,600,6.928,"(491, 571)",0.00016158282414999666,deactivated,deactivated,deactivated,"(0.0, 0.0)","(0.0, 0.0)","(0.0, 0.0)"
801,0,600,6.49,"(491, 571)",0.00016158282414999666,deactivated,deactivated,deactivated,"(0.0, 0.0)","(0.0, 0.0)","(0.0, 0.0)"
901,0,600,6.053,"(491, 571)",0.00016158282414999666,deactivated,deactivated,deactivated,"(0.0, 0.0)","(0.0, 0.0)","(0.0, 0.0)"
1001,0,600,5.615,"(491, 571)",0.00016158282414999666,deactivated,deactivated,deactivated,"(0.0, 0.0)","(0.0, 0.0)","(0.0, 0.0)"
1101,0,600,5.174,"(491, 571)",0.00016158282414999666,deactivated,deactivated,deactivated,"(0.0, 0.0)","(0.0, 0.0)","(0.0, 0.0)"
1201,0,600,4.73,"(491, 571)",0.00016158282414999666,deactivated,deactivated,deactivated,"(0.0, 0.0)","(0.0, 0.0)","(0.0, 0.0)"
1301,0,600,4.293,"(491, 571)",0.00016158282414999666,deactivated,deactivated,deactivated,"(0.0, 0.0)","(0.0, 0.0)","(0.0, 0.0)"
1401,0,600,3.854,"(491, 571)",0.00016241954811482744,moving,moving,moving,"(103.81148602925961, 128.25044003198116)","(103.81148602925961, 128.25044003198116)","(103.81148602925961, 128.25044003198116)"
1501,0,600,3.414,"(491, 571)",0.0001627660161764702,moving,moving,moving,"(418.3917467239853, 516.8881370985918)","(418.3917467239853, 516.8881370985918)","(418.3917467239853, 516.8881370985918)"
1601,0,600,5.204,"(527, 574)",0.00016144687372548997,charging,charging,charging,"(480, 593)","(480, 593)","(480, 593)"
1701,0,600,5.224,"(490, 441)",0.00016144687372548997,charging,charging,charging,"(480, 593)","(480, 593)","(480, 593)"
1801,0,600,5.236,"(490, 441)",0.00016144687372548997,charging,charging,charging,"(480, 593)","(480, 593)","(480, 593)"
1901,0,600,5.216,"(490, 441)",0.00016144687372548997,charging,deactivated,charging,"(480, 593)","(480, 593)","(480, 593)"
2001,0,600,5.117,"(490, 441)",0.00016144687372548997,deactivated,deactivated,charging,"(480, 593)","(480, 593)","(480, 593)"
2101,0,600,4.871,"(490, 441)",0.00016144687372548997,deactivated,deactivated,deactivated,"(480, 593)","(480, 593)","(480, 593)"
2201,0,600,4.556,"(490, 441)",0.00016144687372548997,deactivated,deactivated,deactivated,"(480, 593)","(480, 593)","(480, 593)"
2301,0,600,4.244,"(490, 441)",0.00016144687372548997,deactivated,deactivated,deactivated,"(480, 593)","(480, 593)","(480, 593)"
2401,0,600,3.931,"(490, 441)",0.0001628748306636752,moving,moving,moving,"(500.59219418950954, 490.0390290524526)","(500.59219418950954, 490.0390290524526)","(500.59219418950954, 490.0390290524526)"
2501,0,600,5.102,"(490, 441)",0.0001626890206636752,charging,charging,charging,"(518, 403)","(518, 403)","(518, 403)"
2601,0,600,6.177,"(428, 524)",0.0001626890206636752,charging,charging,charging,"(518, 403)","(518, 403)","(518, 403)"
2701,0,600,6.199,"(428, 524)",0.0001626890206636752,charging,charging,charging,"(518, 403)","(518, 403)","(518, 403)"
2801,0,600,6.224,"(428, 524)",0.0001626890206636752,charging,charging,charging,"(518, 403)","(518, 403)","(518, 403)"
2901,0,600,6.143,"(428, 524)",0.0001626890206636752,deactivated,charging,charging,"(518, 403)","(518, 403)","(518, 403)"
3001,0,600,6.05,"(428, 524)",0.0001626890206636752,deactivated,charging,charging,"(518, 403)","(518, 403)","(518, 403)"
3101,0,600,5.966,"(428, 524)",0.0001626890206636752,deactivated,charging,charging,"(518, 403)","(518, 403)","(518, 403)"
3201,0,600,5.88,"(428, 524)",0.0001626890206636752,deactivated,charging,charging,"(518, 403)","(518, 403)","(518, 403)"
3301,0,600,5.686,"(428, 524)",0.0001626890206636752,deactivated,deactivated,charging,"(518, 403)","(518, 403)","(518, 403)"
3401,0,600,5.482,"(428, 524)",0.0001626890206636752,deactivated,deactivated,charging,"(518, 403)","(518, 403)","(518, 403)"
3501,0,600,5.279,"(428, 524)",0.0001626890206636752,deactivated,deactivated,charging,"(518, 403)","(518, 403)","(518, 403)"
3601,0,600,5.082,"(428, 524)",0.0001626890206636752,deactivated,deactivated,charging,"(518, 403)","(518, 403)","(518, 403)"
3701,0,600,4.82,"(428, 524)",0.0001626890206636752,deactivated,deactivated,deactivated,"(518, 403)","(518, 403)","(518, 403)"
3801,0,600,4.512,"(428, 524)",0.0001626890206636752,deactivated,deactivated,deactivated,"(518, 403)","(518, 403)","(518, 403)"
3901,0,600,4.08,"(491, 571)",0.0001626890206636752,deactivated,deactivated,deactivated,"(518, 403)","(518, 403)","(518, 403)"
4001,0,600,4.235,"(428, 524)",0.00016308413638592385,charging,charging,charging,"(480, 593)","(480, 593)","(480, 593)"
4101,0,600,4.724,"(428, 524)",0.00016308413638592385,charging,charging,charging,"(480, 593)","(480, 593)","(480, 593)"
4201,0,600,5.186,"(428, 524)",0.00016308413638592385,deactivated,charging,charging,"(480, 593)","(480, 593)","(480, 593)"
4301,0,600,5.411,"(428, 524)",0.00016308413638592385,deactivated,charging,charging,"(480, 593)","(480, 593)","(480, 593)"
4401,0,600,5.629,"(428, 524)",0.00016308413638592385,deactivated,charging,charging,"(480, 593)","(480, 593)","(480, 593)"
4501,0,600,5.852,"(428, 524)",0.00016308413638592385,deactivated,charging,charging,"(480, 593)","(480, 593)","(480, 593)"
4601,0,600,6.079,"(428, 524)",0.00016308413638592385,deactivated,charging,charging,"(480, 593)","(480, 593)","(480, 593)"
4701,0,600,6.303,"(428, 524)",0.00016308413638592385,deactivated,charging,charging,"(480, 593)","(480, 593)","(480, 593)"
4801,0,600,6.517,"(428, 524)",0.00016308413638592385,deactivated,charging,charging,"(480, 593)","(480, 593)","(480, 593)"
4901,0,600,6.739,"(428, 524)",0.00016308413638592385,deactivated,charging,charging,"(480, 593)","(480, 593)","(480, 593)"
5001,0,600,6.965,"(428, 524)",0.00016308413638592385,deactivated,charging,charging,"(480, 593)","(480, 593)","(480, 593)"
5101,0,600,6.929,"(701, 298)",0.00016308413638592385,deactivated,charging,charging,"(480, 593)","(480, 593)","(480, 593)"
5201,0,600,6.87,"(701, 298)",0.00016308413638592385,deactivated,charging,charging,"(480, 593)","(480, 593)","(480, 593)"
5301,0,600,6.815,"(701, 298)",0.00016308413638592385,deactivated,charging,charging,"(480, 593)","(480, 593)","(480, 593)"
5401,0,600,6.754,"(701, 298)",0.00016308413638592385,deactivated,charging,charging,"(480, 593)","(480, 593)","(480, 593)"
5501,0,600,6.693,"(701, 298)",0.00016308413638592385,deactivated,charging,charging,"(480, 593)","(480, 593)","(480, 593)"
5601,0,600,6.63,"(701, 298)",0.00016308413638592385,deactivated,charging,charging,"(480, 593)","(480, 593)","(480, 593)"
5701,0,600,6.57,"(701, 298)",0.00016308413638592385,deactivated,charging,charging,"(480, 593)","(480, 593)","(480, 593)"
5801,0,600,6.507,"(701, 298)",0.00016308413638592385,deactivated,charging,charging,"(480, 593)","(480, 593)","(480, 593)"
5901,0,600,6.448,"(701, 298)",0.00016308413638592385,deactivated,charging,charging,"(480, 593)","(480, 593)","(480, 593)"
6001,0,600,6.385,"(701, 298)",0.00016308413638592385,deactivated,deactivated,charging,"(480, 593)","(480, 593)","(480, 593)"
6101,0,600,6.298,"(701, 298)",0.00016308413638592385,deactivated,deactivated,charging,"(480, 593)","(480, 593)","(480, 593)"
6201,0,600,6.215,"(701, 298)",0.00016308413638592385,deactivated,deactivated,charging,"(480, 593)","(480, 593)","(480, 593)"
6301,0,600,6.13,"(701, 298)",0.00016308413638592385,deactivated,deactivated,charging,"(480, 593)","(480, 593)","(480, 593)"
6401,0,600,6.047,"(701, 298)",0.00016308413638592385,deactivated,deactivated,charging,"(480, 593)","(480, 593)","(480, 593)"
